asset_id,date,open,high,low,close,volume
zs,2021-09-13,1271.75,1272.5,1271.75,1272.5,22
zs,2021-09-14,1283.5,1283.5,1276.5,1276.5,72169
zs,2021-09-15,1283.5,1296.0,1276.0,1294.5,91389
zs,2021-09-16,1296.5,1308.0,1291.25,1296.0,75853
zs,2021-09-17,1295.5,1298.5,1278.25,1284.0,72388
zs,2021-09-20,1285.0,1286.0,1262.0,1262.5,94112
zs,2021-09-21,1263.0,1275.5,1257.5,1274.0,78941
zs,2021-09-22,1274.5,1285.0,1270.25,1282.75,75666
zs,2021-09-23,1282.5,1290.25,1275.75,1284.25,70612
zs,2021-09-24,1283.25,1290.0,1278.25,1285.0,64911
zs,2021-09-27,1284.0,1297.0,1282.0,1287.5,96607
zs,2021-09-28,1286.75,1287.0,1275.0,1277.0,88017
zs,2021-09-29,1276.25,1288.5,1272.75,1283.75,91807
zs,2021-09-30,1282.0,1295.0,1249.0,1256.0,202394
zs,2021-10-01,1255.0,1262.25,1242.0,1246.5,117447
zs,2021-10-04,1242.75,1247.75,1235.0,1235.75,111356
zs,2021-10-05,1234.25,1256.25,1231.0,1250.5,119391
zs,2021-10-06,1250.0,1255.5,1239.25,1242.0,83888
zs,2021-10-07,1242.0,1249.5,1233.5,1247.25,120772
zs,2021-10-08,1246.5,1262.5,1242.0,1243.0,143586
zs,2021-10-11,1240.5,1251.25,1227.0,1228.25,112209
zs,2021-10-12,1226.5,1230.75,1194.75,1198.25,183780
zs,2021-10-13,1198.5,1211.25,1184.5,1195.25,186725
zs,2021-10-14,1196.0,1207.75,1193.5,1206.25,127035
zs,2021-10-15,1205.75,1221.0,1202.0,1217.75,111808
zs,2021-10-18,1218.0,1225.25,1210.0,1221.5,99058
zs,2021-10-19,1220.5,1239.25,1216.25,1228.0,139462
zs,2021-10-20,1227.75,1249.5,1224.75,1245.5,134395
zs,2021-10-21,1243.25,1249.5,1222.0,1224.0,105786
zs,2021-10-22,1224.0,1230.5,1217.0,1220.5,176315
zs,2021-10-25,1218.75,1238.25,1216.0,1237.25,137468
zs,2021-10-26,1236.25,1246.25,1230.0,1238.0,94349
zs,2021-10-27,1237.25,1257.5,1227.0,1239.25,122469
zs,2021-10-28,1238.5,1249.5,1229.5,1233.75,73201
zs,2021-10-29,1230.25,1242.0,1227.75,1235.75,10990
zs,2021-11-01,1236.25,1246.5,1225.0,1236.75,3899
zs,2021-11-02,1236.5,1250.25,1234.75,1244.0,2003
zs,2021-11-03,1242.25,1245.0,1228.5,1231.5,1263
zs,2021-11-04,1230.5,1233.25,1205.5,1209.25,2676
